Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#11 - WP_000107353.1	superfamily	130366	38	304	5.55675e-23	102.362	cl31090	synapt_SV2 superfamily	NC	 - 
Q#11 - WP_000107353.1	non-specific	179668	50	444	8.09896e-23	100.928	PRK03893	PRK03893	 - 	cl32048
Q#11 - WP_000107353.1	superfamily	179668	50	444	8.09896e-23	100.928	cl32048	PRK03893 superfamily	 - 	 - 
Q#11 - WP_000107353.1	non-specific	340921	42	313	1.67229e-21	96.7892	cd17363	MFS_SV2	C	cl28910
Q#11 - WP_000107353.1	non-specific	340873	69	454	6.53394e-21	93.7929	cd17315	MFS_GLUT_like	 - 	cl28910
Q#11 - WP_000107353.1	non-specific	129965	41	464	2.621e-20	93.2543	TIGR00887	2A0109	 - 	cl31035
Q#11 - WP_000107353.1	superfamily	129965	41	464	2.621e-20	93.2543	cl31035	2A0109 superfamily	 - 	 - 
Q#11 - WP_000107353.1	non-specific	340922	41	456	6.54802e-20	91.1851	cd17364	MFS_PhT	 - 	cl28910
Q#11 - WP_000107353.1	non-specific	340998	42	445	1.73967e-19	90.7424	cd17440	MFS_SV2C	 - 	cl28910
Q#11 - WP_000107353.1	non-specific	340882	42	448	6.99506e-19	87.99	cd17324	MFS_NepI_like	 - 	cl28910
Q#11 - WP_000107353.1	non-specific	340915	76	458	1.52876e-18	87.7021	cd17357	MFS_GLUT_Class1_2_like	 - 	cl28910
Q#11 - WP_000107353.1	non-specific	341042	43	451	5.28702e-18	85.3383	cd17489	MFS_YfcJ_like	 - 	cl28910
Q#11 - WP_000107353.1	non-specific	341027	60	451	9.61146e-18	84.5443	cd17474	MFS_YfmO_like	 - 	cl28910
Q#11 - WP_000107353.1	non-specific	340886	37	424	9.92301e-18	84.9799	cd17328	MFS_spinster_like	 - 	cl28910
Q#11 - WP_000107353.1	non-specific	340999	41	420	2.83441e-17	83.3234	cd17441	MFS_SVOP	 - 	cl28910
Q#11 - WP_000107353.1	non-specific	340930	41	451	3.02762e-17	82.9678	cd17372	MFS_SVOP_like	 - 	cl28910
Q#11 - WP_000107353.1	non-specific	340877	55	450	1.00213e-16	81.4627	cd17319	MFS_ExuT_GudP_like	 - 	cl28910
Q#11 - WP_000107353.1	non-specific	340920	55	463	3.27454e-16	80.0891	cd17362	MFS_GLUT10_12_Class3_like	 - 	cl28910
Q#11 - WP_000107353.1	non-specific	440501	33	451	6.91932e-16	79.1276	COG0738	FucP	 - 	cl43255
Q#11 - WP_000107353.1	superfamily	440501	33	451	6.91932e-16	79.1276	cl43255	FucP superfamily	 - 	 - 
Q#11 - WP_000107353.1	non-specific	340995	52	463	3.89814e-15	76.671	cd17437	MFS_PLT	 - 	cl28910
Q#11 - WP_000107353.1	non-specific	182225	59	464	7.91394e-15	76.2702	PRK10077	xylE	 - 	cl32455
Q#11 - WP_000107353.1	superfamily	182225	59	464	7.91394e-15	76.2702	cl32455	xylE superfamily	 - 	 - 
Q#11 - WP_000107353.1	non-specific	340991	84	462	1.46991e-14	75.2985	cd17433	MFS_GLUT8_Class3	 - 	cl28910
Q#11 - WP_000107353.1	non-specific	340925	78	456	6.69648e-14	73.0978	cd17367	MFS_KgtP	 - 	cl28910
Q#11 - WP_000107353.1	non-specific	237051	45	443	3.07653e-13	71.1128	PRK12307	PRK12307	 - 	cl36103
Q#11 - WP_000107353.1	superfamily	237051	45	443	3.07653e-13	71.1128	cl36103	PRK12307 superfamily	 - 	 - 
Q#11 - WP_000107353.1	non-specific	340918	77	218	6.55169e-13	69.6064	cd17360	MFS_HMIT_like	C	cl28910
Q#11 - WP_000107353.1	non-specific	340879	43	208	8.73178e-13	69.5094	cd17321	MFS_MMR_MDR_like	C	cl28910
Q#11 - WP_000107353.1	non-specific	340878	60	235	3.8676e-12	67.6009	cd17320	MFS_MdfA_MDR_like	C	cl28910
Q#11 - WP_000107353.1	non-specific	340883	9	212	1.96429e-11	65.29	cd17325	MFS_MdtG_SLC18_like	N	cl28910
Q#11 - WP_000107353.1	non-specific	341026	53	452	1.99431e-11	65.2871	cd17473	MFS_arabinose_efflux_permease_like	 - 	cl28910
Q#11 - WP_000107353.1	non-specific	340933	85	448	2.37118e-11	64.7715	cd17375	MFS_SLC22A16_CT2	 - 	cl28910
Q#11 - WP_000107353.1	non-specific	340927	80	447	2.81698e-11	64.8555	cd17369	MFS_ShiA_like	 - 	cl28910
Q#11 - WP_000107353.1	non-specific	340881	41	208	3.47637e-11	64.5187	cd17323	MFS_Tpo1_MDR_like	C	cl28910
Q#11 - WP_000107353.1	non-specific	442057	53	452	3.75478e-11	64.5092	COG2807	CynX	 - 	cl34489
Q#11 - WP_000107353.1	superfamily	442057	53	452	3.75478e-11	64.5092	cl34489	CynX superfamily	 - 	 - 
Q#11 - WP_000107353.1	non-specific	340887	39	451	5.75044e-11	63.7855	cd17329	MFS_MdtH_MDR_like	 - 	cl28910
Q#11 - WP_000107353.1	non-specific	273318	76	215	1.95802e-10	58.8154	TIGR00880	2_A_01_02	 - 	cl28910
Q#11 - WP_000107353.1	non-specific	340919	77	451	3.13331e-10	61.8824	cd17361	MFS_STP	 - 	cl28910
Q#11 - WP_000107353.1	non-specific	340928	15	208	3.97522e-10	61.4051	cd17370	MFS_MJ1317_like	N	cl28910
Q#11 - WP_000107353.1	non-specific	340993	41	222	8.09234e-10	60.1963	cd17435	MFS_GLUT12_Class3	C	cl28910
Q#11 - WP_000107353.1	non-specific	441813	48	461	1.16415e-09	60.301	COG2211	MelB	 - 	cl43646
Q#11 - WP_000107353.1	superfamily	441813	48	461	1.16415e-09	60.301	cl43646	MelB superfamily	 - 	 - 
Q#11 - WP_000107353.1	non-specific	341031	61	449	2.06316e-09	59.1068	cd17478	MFS_FsR	 - 	cl28910
Q#11 - WP_000107353.1	non-specific	341047	60	206	2.48951e-09	58.743	cd17504	MFS_MMR_MDR_like	C	cl28910
Q#11 - WP_000107353.1	non-specific	442063	16	175	5.01169e-09	57.6765	COG2814	AraJ	N	cl43718
Q#11 - WP_000107353.1	non-specific	340882	15	204	8.57781e-09	57.174	cd17324	MFS_NepI_like	N	cl28910
Q#11 - WP_000107353.1	non-specific	340937	84	450	1.84595e-08	55.82	cd17379	MFS_SLC22A1_2_3	 - 	cl28910
Q#11 - WP_000107353.1	non-specific	340885	77	362	2.2973e-08	56.103	cd17327	MFS_FEN2_like	C	cl28910
Q#11 - WP_000107353.1	non-specific	340990	77	462	3.79718e-08	55.3148	cd17432	MFS_GLUT_Class2	 - 	cl28910
Q#11 - WP_000107353.1	non-specific	340932	85	451	1.19749e-07	53.4485	cd17374	MFS_OAT	 - 	cl28910
Q#11 - WP_000107353.1	non-specific	341000	38	426	1.91601e-07	52.8867	cd17442	MFS_SVOPL	 - 	cl28910
Q#11 - WP_000107353.1	non-specific	340888	61	219	2.08156e-07	52.5806	cd17330	MFS_SLC46_TetA_like	C	cl28910
Q#11 - WP_000107353.1	non-specific	341030	67	448	2.23209e-07	52.5607	cd17477	MFS_YcaD_like	 - 	cl28910
Q#11 - WP_000107353.1	non-specific	340994	52	463	3.2515e-07	52.1111	cd17436	MFS_GLUT10_Class3	 - 	cl28910
Q#11 - WP_000107353.1	non-specific	341005	64	450	3.77377e-07	52.0399	cd17447	MFS_SLC22A7_OAT2	 - 	cl28910
Q#11 - WP_000107353.1	non-specific	341046	43	206	4.05674e-07	51.8079	cd17503	MFS_LmrB_MDR_like	C	cl28910
Q#11 - WP_000107353.1	non-specific	341045	43	208	4.17404e-07	51.7954	cd17502	MFS_Azr1_MDR_like	C	cl28910
Q#11 - WP_000107353.1	non-specific	340926	89	404	4.88811e-07	51.6057	cd17368	MFS_CitA	 - 	cl28910
Q#11 - WP_000107353.1	non-specific	340949	63	197	4.93839e-07	51.4962	cd17391	MFS_MdtG_MDR_like	N	cl28910
Q#11 - WP_000107353.1	non-specific	340989	62	458	7.81005e-07	51.1822	cd17431	MFS_GLUT_Class1	 - 	cl28910
Q#11 - WP_000107353.1	non-specific	341027	41	198	9.36465e-07	50.6467	cd17474	MFS_YfmO_like	N	cl28910
Q#11 - WP_000107353.1	non-specific	340863	59	451	1.77039e-06	49.9214	cd06173	MFS_MefA_like	 - 	cl28910
Q#11 - WP_000107353.1	non-specific	340869	37	217	2.24229e-06	49.61	cd06180	MFS_YjiJ	C	cl28910
Q#11 - WP_000107353.1	non-specific	340863	24	198	2.30685e-06	49.5362	cd06173	MFS_MefA_like	N	cl28910
Q#11 - WP_000107353.1	non-specific	341025	69	217	3.30551e-06	49.1366	cd17472	MFS_YajR_like	C	cl28910
Q#11 - WP_000107353.1	non-specific	341042	42	211	4.84907e-06	48.3592	cd17489	MFS_YfcJ_like	N	cl28910
Q#11 - WP_000107353.1	non-specific	399632	61	217	6.25032e-06	48.1355	pfam06779	MFS_4	C	cl27910
Q#11 - WP_000107353.1	superfamily	399632	61	217	6.25032e-06	48.1355	cl27910	MFS_4 superfamily	C	 - 
Q#11 - WP_000107353.1	non-specific	340877	311	451	6.85344e-06	47.9504	cd17319	MFS_ExuT_GudP_like	C	cl28910
Q#11 - WP_000107353.1	non-specific	273319	58	429	7.09947e-06	48.1409	TIGR00881	2A0104	 - 	cl36756
Q#11 - WP_000107353.1	superfamily	273319	58	429	7.09947e-06	48.1409	cl36756	2A0104 superfamily	 - 	 - 
Q#11 - WP_000107353.1	non-specific	429598	311	462	7.57085e-06	47.7979	pfam07690	MFS_1	C	cl28910
Q#11 - WP_000107353.1	non-specific	340992	111	462	8.23347e-06	47.9053	cd17434	MFS_GLUT6_Class3	 - 	cl28910
Q#11 - WP_000107353.1	non-specific	340891	61	444	9.78797e-06	47.7013	cd17333	MFS_FucP_MFSD4_like	 - 	cl28910
Q#11 - WP_000107353.1	non-specific	340924	49	199	1.2249e-05	47.3525	cd17366	MFS_ProP	C	cl28910
Q#11 - WP_000107353.1	non-specific	129794	41	211	1.56677e-05	47.3737	TIGR00711	efflux_EmrB	C	cl31024
Q#11 - WP_000107353.1	superfamily	129794	41	211	1.56677e-05	47.3737	cl31024	efflux_EmrB superfamily	C	 - 
Q#11 - WP_000107353.1	non-specific	441813	34	190	1.93132e-05	46.819	COG2211	MelB	N	cl43646
Q#11 - WP_000107353.1	non-specific	441825	273	452	2.18854e-05	46.4125	COG2223	NarK	C	cl43649
Q#11 - WP_000107353.1	non-specific	442063	311	451	4.93915e-05	45.3501	COG2814	AraJ	C	cl43718
Q#11 - WP_000107353.1	non-specific	340893	56	452	5.61994e-05	45.2673	cd17335	MFS_MFSD6	 - 	cl28910
Q#11 - WP_000107353.1	non-specific	341029	41	212	0.000162789	43.7901	cd17476	MFS_Amf1_MDR_like	C	cl28910
Q#11 - WP_000107353.1	non-specific	340871	321	450	0.000179933	43.7696	cd17313	MFS_SLC45_SUC	N	cl28910
Q#11 - WP_000107353.1	non-specific	341026	13	190	0.00019011	43.7159	cd17473	MFS_arabinose_efflux_permease_like	N	cl28910
Q#11 - WP_000107353.1	non-specific	182611	89	465	0.000204076	43.5464	PRK10642	PRK10642	 - 	cl28910
Q#11 - WP_000107353.1	non-specific	340903	40	450	0.000330008	42.9991	cd17345	MFS_GlpT	 - 	cl28910
Q#11 - WP_000107353.1	non-specific	442057	34	153	0.000382101	42.5529	COG2807	CynX	N	cl34489
Q#11 - WP_000107353.1	non-specific	340936	66	204	0.000411609	42.3461	cd17378	MFS_OCT_plant	C	cl28910
Q#11 - WP_000107353.1	non-specific	341024	14	204	0.000510207	42.1492	cd17471	MFS_Set	N	cl28910
Q#11 - WP_000107353.1	non-specific	340938	55	200	0.000563082	42.1565	cd17380	MFS_SLC17A9_like	C	cl28910
Q#11 - WP_000107353.1	non-specific	340934	77	213	0.00061533	41.6823	cd17376	MFS_SLC22A4_5_OCTN1_2	C	cl28910
Q#11 - WP_000107353.1	non-specific	182924	79	216	0.000662316	41.8015	PRK11043	PRK11043	C	cl32630
Q#11 - WP_000107353.1	superfamily	182924	79	216	0.000662316	41.8015	cl32630	PRK11043 superfamily	C	 - 
Q#11 - WP_000107353.1	non-specific	340874	34	200	0.00101005	41.048	cd17316	MFS_SV2_like	N	cl28910
Q#11 - WP_000107353.1	non-specific	441871	24	200	0.00108551	41.2915	COG2270	BtlA	N	cl43667
Q#11 - WP_000107353.1	superfamily	441871	24	200	0.00108551	41.2915	cl43667	BtlA superfamily	N	 - 
Q#11 - WP_000107353.1	non-specific	340894	41	221	0.0011242	41.0706	cd17336	MFS_SLCO_OATP	C	cl28910
Q#11 - WP_000107353.1	non-specific	341024	55	446	0.00132802	40.9936	cd17471	MFS_Set	 - 	cl28910
Q#11 - WP_000107353.1	non-specific	340913	48	190	0.00177658	40.3321	cd17355	MFS_YcxA_like	N	cl28910
Q#11 - WP_000107353.1	non-specific	340899	61	371	0.00179521	40.3125	cd17341	MFS_NRT2_like	C	cl28910
Q#11 - WP_000107353.1	non-specific	341043	55	451	0.00185912	40.2819	cd17490	MFS_YxlH_like	 - 	cl28910
Q#11 - WP_000107353.1	non-specific	341028	56	448	0.00189137	40.2993	cd17475	MFS_MT3072_like	 - 	cl28910
Q#11 - WP_000107353.1	non-specific	340928	41	447	0.0019081	40.2191	cd17370	MFS_MJ1317_like	 - 	cl28910
Q#11 - WP_000107353.1	non-specific	182964	60	215	0.00275892	39.8979	PRK11102	PRK11102	C	cl32640
Q#11 - WP_000107353.1	superfamily	182964	60	215	0.00275892	39.8979	cl32640	PRK11102 superfamily	C	 - 
Q#11 - WP_000107353.1	non-specific	340946	45	185	0.00293703	39.9266	cd17388	MFS_TetA	C	cl28910
Q#11 - WP_000107353.1	non-specific	341046	316	444	0.00331607	39.4815	cd17503	MFS_LmrB_MDR_like	C	cl28910
Q#11 - WP_000107353.1	non-specific	340870	56	221	0.0036027	39.5645	cd17312	MFS_OPA_SLC37	C	cl28910
Q#11 - WP_000107353.1	non-specific	341004	386	450	0.00491888	38.9369	cd17446	MFS_SLC22A6_OAT1_like	N	cl28910
Q#11 - WP_000107353.1	non-specific	340949	412	454	0.00651572	38.7846	cd17391	MFS_MdtG_MDR_like	NC	cl28910
Q#11 - WP_000107353.1	non-specific	349949	323	465	0.00802396	38.5618	cd06174	MFS	C	cl28910
Q#12 - WP_203666285.1	specific	340874	41	450	5.12592e-60	200.135	cd17316	MFS_SV2_like	 - 	cl28910
Q#12 - WP_203666285.1	superfamily	475125	41	450	5.12592e-60	200.135	cl28910	MFS superfamily	 - 	 - 
Q#12 - WP_203666285.1	non-specific	273327	31	425	1.27754e-56	192.571	TIGR00895	2A0115	 - 	cl36764
Q#12 - WP_203666285.1	superfamily	273327	31	425	1.27754e-56	192.571	cl36764	2A0115 superfamily	 - 	 - 
Q#12 - WP_203666285.1	specific	441872	31	456	1.83838e-44	159.265	COG2271	UhpC	 - 	cl34453
Q#12 - WP_203666285.1	superfamily	441872	31	456	1.83838e-44	159.265	cl34453	UhpC superfamily	 - 	 - 
Q#12 - WP_203666285.1	non-specific	395036	75	465	2.20945e-42	155.893	pfam00083	Sugar_tr	 - 	cl28910
Q#12 - WP_203666285.1	non-specific	340929	49	455	3.34687e-41	151.301	cd17371	MFS_MucK	 - 	cl28910
Q#12 - WP_203666285.1	non-specific	273328	61	462	3.92528e-41	153.633	TIGR00898	2A0119	N	cl36765
Q#12 - WP_203666285.1	superfamily	273328	61	462	3.92528e-41	153.633	cl36765	2A0119 superfamily	N	 - 
Q#12 - WP_203666285.1	non-specific	340923	41	450	8.37842e-40	146.576	cd17365	MFS_PcaK_like	 - 	cl28910
Q#12 - WP_203666285.1	non-specific	442063	33	416	1.09736e-31	124.316	COG2814	AraJ	 - 	cl43718
Q#12 - WP_203666285.1	superfamily	442063	33	416	1.09736e-31	124.316	cl43718	AraJ superfamily	 - 	 - 
Q#12 - WP_203666285.1	non-specific	273317	51	463	3.9135e-31	125.144	TIGR00879	SP	 - 	cl28910
Q#12 - WP_203666285.1	non-specific	340883	43	452	5.947e-30	119.988	cd17325	MFS_MdtG_SLC18_like	 - 	cl28910
Q#12 - WP_203666285.1	non-specific	340916	60	462	9.22301e-30	120.373	cd17358	MFS_GLUT6_8_Class3_like	 - 	cl28910
Q#12 - WP_203666285.1	non-specific	340917	57	454	2.17359e-29	118.439	cd17359	MFS_XylE_like	 - 	cl28910
Q#12 - WP_203666285.1	non-specific	440245	25	235	4.44492e-29	115.679	COG0477	ProP	C	cl43153
Q#12 - WP_203666285.1	superfamily	440245	25	235	4.44492e-29	115.679	cl43153	ProP superfamily	C	 - 
Q#12 - WP_203666285.1	non-specific	441825	41	459	1.11265e-27	113.822	COG2223	NarK	 - 	cl43649
Q#12 - WP_203666285.1	superfamily	441825	41	459	1.11265e-27	113.822	cl43649	NarK superfamily	 - 	 - 
Q#12 - WP_203666285.1	non-specific	340875	64	451	1.52954e-27	112.289	cd17317	MFS_SLC22	 - 	cl28910
Q#12 - WP_203666285.1	non-specific	429598	43	418	5.45178e-26	108.274	pfam07690	MFS_1	 - 	cl28910
Q#12 - WP_203666285.1	non-specific	349949	43	449	3.3231e-25	106.357	cd06174	MFS	 - 	cl28910
Q#12 - WP_203666285.1	non-specific	340996	41	304	7.75636e-24	103.849	cd17438	MFS_SV2B	C	cl28910
Q#12 - WP_203666285.1	non-specific	236927	56	426	9.31791e-24	102.733	PRK11551	PRK11551	 - 	cl36029
Q#12 - WP_203666285.1	superfamily	236927	56	426	9.31791e-24	102.733	cl36029	PRK11551 superfamily	 - 	 - 
Q#12 - WP_203666285.1	non-specific	340997	42	304	1.64637e-23	102.801	cd17439	MFS_SV2A	C	cl28910
Q#12 - WP_203666285.1	non-specific	340914	69	463	2.93744e-23	101.173	cd17356	MFS_HXT	 - 	cl28910
Q#12 - WP_203666285.1	non-specific	130366	38	304	5.40797e-23	102.362	TIGR01299	synapt_SV2	NC	cl31090
Q#12 - WP_203666285.1	superfamily	130366	38	304	5.40797e-23	102.362	cl31090	synapt_SV2 superfamily	NC	 - 
Q#12 - WP_203666285.1	non-specific	179668	50	444	8.09896e-23	100.928	PRK03893	PRK03893	 - 	cl32048
Q#12 - WP_203666285.1	superfamily	179668	50	444	8.09896e-23	100.928	cl32048	PRK03893 superfamily	 - 	 - 
Q#12 - WP_203666285.1	non-specific	340921	42	313	1.7034e-21	96.7892	cd17363	MFS_SV2	C	cl28910
Q#12 - WP_203666285.1	non-specific	340873	69	454	6.91458e-21	93.7929	cd17315	MFS_GLUT_like	 - 	cl28910
Q#12 - WP_203666285.1	non-specific	129965	41	464	2.64499e-20	93.2543	TIGR00887	2A0109	 - 	cl31035
Q#12 - WP_203666285.1	superfamily	129965	41	464	2.64499e-20	93.2543	cl31035	2A0109 superfamily	 - 	 - 
Q#12 - WP_203666285.1	non-specific	340922	41	456	7.32292e-20	91.1851	cd17364	MFS_PhT	 - 	cl28910
Q#12 - WP_203666285.1	non-specific	340998	42	445	1.73967e-19	90.7424	cd17440	MFS_SV2C	 - 	cl28910
Q#12 - WP_203666285.1	non-specific	340882	42	448	7.12659e-19	87.99	cd17324	MFS_NepI_like	 - 	cl28910
Q#12 - WP_203666285.1	non-specific	340915	76	458	1.78521e-18	87.3169	cd17357	MFS_GLUT_Class1_2_like	 - 	cl28910
Q#12 - WP_203666285.1	non-specific	341042	43	451	5.74726e-18	84.9531	cd17489	MFS_YfcJ_like	 - 	cl28910
Q#12 - WP_203666285.1	non-specific	341027	60	451	9.97352e-18	84.5443	cd17474	MFS_YfmO_like	 - 	cl28910
Q#12 - WP_203666285.1	non-specific	340886	37	424	1.01998e-17	84.9799	cd17328	MFS_spinster_like	 - 	cl28910
Q#12 - WP_203666285.1	non-specific	340999	41	420	2.86067e-17	83.3234	cd17441	MFS_SVOP	 - 	cl28910
Q#12 - WP_203666285.1	non-specific	340930	41	451	3.02762e-17	82.9678	cd17372	MFS_SVOP_like	 - 	cl28910
Q#12 - WP_203666285.1	non-specific	340877	55	450	1.05922e-16	81.0775	cd17319	MFS_ExuT_GudP_like	 - 	cl28910
Q#12 - WP_203666285.1	non-specific	340920	55	463	3.24477e-16	80.0891	cd17362	MFS_GLUT10_12_Class3_like	 - 	cl28910
Q#12 - WP_203666285.1	non-specific	440501	33	451	7.86114e-16	79.1276	COG0738	FucP	 - 	cl43255
Q#12 - WP_203666285.1	superfamily	440501	33	451	7.86114e-16	79.1276	cl43255	FucP superfamily	 - 	 - 
Q#12 - WP_203666285.1	non-specific	340995	52	463	3.82791e-15	76.671	cd17437	MFS_PLT	 - 	cl28910
Q#12 - WP_203666285.1	non-specific	182225	59	464	7.98495e-15	76.2702	PRK10077	xylE	 - 	cl32455
Q#12 - WP_203666285.1	superfamily	182225	59	464	7.98495e-15	76.2702	cl32455	xylE superfamily	 - 	 - 
Q#12 - WP_203666285.1	non-specific	340991	84	462	1.51018e-14	75.2985	cd17433	MFS_GLUT8_Class3	 - 	cl28910
Q#12 - WP_203666285.1	non-specific	340925	78	456	6.57697e-14	73.0978	cd17367	MFS_KgtP	 - 	cl28910
Q#12 - WP_203666285.1	non-specific	237051	45	443	3.4252e-13	71.1128	PRK12307	PRK12307	 - 	cl36103
Q#12 - WP_203666285.1	superfamily	237051	45	443	3.4252e-13	71.1128	cl36103	PRK12307 superfamily	 - 	 - 
Q#12 - WP_203666285.1	non-specific	340918	77	218	6.79348e-13	69.6064	cd17360	MFS_HMIT_like	C	cl28910
Q#12 - WP_203666285.1	non-specific	340879	43	208	9.13544e-13	69.5094	cd17321	MFS_MMR_MDR_like	C	cl28910
Q#12 - WP_203666285.1	non-specific	340878	60	235	4.11899e-12	67.6009	cd17320	MFS_MdfA_MDR_like	C	cl28910
Q#12 - WP_203666285.1	non-specific	340883	9	212	2.12965e-11	65.29	cd17325	MFS_MdtG_SLC18_like	N	cl28910
Q#12 - WP_203666285.1	non-specific	341026	53	452	2.20142e-11	65.2871	cd17473	MFS_arabinose_efflux_permease_like	 - 	cl28910
Q#12 - WP_203666285.1	non-specific	340933	85	448	2.45861e-11	64.7715	cd17375	MFS_SLC22A16_CT2	 - 	cl28910
Q#12 - WP_203666285.1	non-specific	340927	80	447	2.79196e-11	65.2407	cd17369	MFS_ShiA_like	 - 	cl28910
Q#12 - WP_203666285.1	non-specific	442057	53	452	3.65553e-11	64.5092	COG2807	CynX	 - 	cl34489
Q#12 - WP_203666285.1	superfamily	442057	53	452	3.65553e-11	64.5092	cl34489	CynX superfamily	 - 	 - 
Q#12 - WP_203666285.1	non-specific	340881	41	208	3.66861e-11	64.5187	cd17323	MFS_Tpo1_MDR_like	C	cl28910
Q#12 - WP_203666285.1	non-specific	340887	39	451	5.90717e-11	63.7855	cd17329	MFS_MdtH_MDR_like	 - 	cl28910
Q#12 - WP_203666285.1	non-specific	273318	76	215	2.07475e-10	58.8154	TIGR00880	2_A_01_02	 - 	cl28910
Q#12 - WP_203666285.1	non-specific	340919	77	451	3.16137e-10	61.8824	cd17361	MFS_STP	 - 	cl28910
Q#12 - WP_203666285.1	non-specific	340928	15	208	4.08336e-10	61.4051	cd17370	MFS_MJ1317_like	N	cl28910
Q#12 - WP_203666285.1	non-specific	340993	41	222	8.23809e-10	60.1963	cd17435	MFS_GLUT12_Class3	C	cl28910
Q#12 - WP_203666285.1	non-specific	441813	48	461	1.29428e-09	59.9158	COG2211	MelB	 - 	cl43646
Q#12 - WP_203666285.1	superfamily	441813	48	461	1.29428e-09	59.9158	cl43646	MelB superfamily	 - 	 - 
Q#12 - WP_203666285.1	non-specific	341031	61	449	2.33808e-09	58.7216	cd17478	MFS_FsR	 - 	cl28910
Q#12 - WP_203666285.1	non-specific	341047	60	206	2.44548e-09	58.743	cd17504	MFS_MMR_MDR_like	C	cl28910
Q#12 - WP_203666285.1	non-specific	442063	16	175	5.01169e-09	57.6765	COG2814	AraJ	N	cl43718
Q#12 - WP_203666285.1	non-specific	340882	15	204	8.65456e-09	57.174	cd17324	MFS_NepI_like	N	cl28910
Q#12 - WP_203666285.1	non-specific	340937	84	450	1.781e-08	55.82	cd17379	MFS_SLC22A1_2_3	 - 	cl28910
Q#12 - WP_203666285.1	non-specific	340885	77	362	2.42248e-08	55.7178	cd17327	MFS_FEN2_like	C	cl28910
Q#12 - WP_203666285.1	non-specific	340990	77	462	3.63385e-08	55.3148	cd17432	MFS_GLUT_Class2	 - 	cl28910
Q#12 - WP_203666285.1	non-specific	340932	85	451	1.21906e-07	53.4485	cd17374	MFS_OAT	 - 	cl28910
Q#12 - WP_203666285.1	non-specific	341000	38	426	2.24718e-07	52.8867	cd17442	MFS_SVOPL	 - 	cl28910
Q#12 - WP_203666285.1	non-specific	340888	61	219	2.27537e-07	52.5806	cd17330	MFS_SLC46_TetA_like	C	cl28910
Q#12 - WP_203666285.1	non-specific	341030	67	448	2.29237e-07	52.5607	cd17477	MFS_YcaD_like	 - 	cl28910
Q#12 - WP_203666285.1	non-specific	340994	52	463	3.1663e-07	52.1111	cd17436	MFS_GLUT10_Class3	 - 	cl28910
Q#12 - WP_203666285.1	non-specific	341005	64	450	3.77377e-07	52.0399	cd17447	MFS_SLC22A7_OAT2	 - 	cl28910
Q#12 - WP_203666285.1	non-specific	341046	43	206	3.98561e-07	51.8079	cd17503	MFS_LmrB_MDR_like	C	cl28910
Q#12 - WP_203666285.1	non-specific	341045	43	208	4.32561e-07	51.7954	cd17502	MFS_Azr1_MDR_like	C	cl28910
Q#12 - WP_203666285.1	non-specific	340926	89	404	4.76062e-07	51.9909	cd17368	MFS_CitA	 - 	cl28910
Q#12 - WP_203666285.1	non-specific	340949	63	197	5.07113e-07	51.4962	cd17391	MFS_MdtG_MDR_like	N	cl28910
Q#12 - WP_203666285.1	non-specific	340989	62	458	8.08891e-07	51.1822	cd17431	MFS_GLUT_Class1	 - 	cl28910
Q#12 - WP_203666285.1	non-specific	341027	41	198	9.44783e-07	50.6467	cd17474	MFS_YfmO_like	N	cl28910
Q#12 - WP_203666285.1	non-specific	340863	59	451	1.80191e-06	49.9214	cd06173	MFS_MefA_like	 - 	cl28910
Q#12 - WP_203666285.1	non-specific	340869	37	217	2.20301e-06	49.61	cd06180	MFS_YjiJ	C	cl28910
Q#12 - WP_203666285.1	non-specific	340863	24	198	2.43223e-06	49.5362	cd06173	MFS_MefA_like	N	cl28910
Q#12 - WP_203666285.1	non-specific	341025	69	217	3.45477e-06	49.1366	cd17472	MFS_YajR_like	C	cl28910
Q#12 - WP_203666285.1	non-specific	341042	42	211	5.25033e-06	48.3592	cd17489	MFS_YfcJ_like	N	cl28910
Q#12 - WP_203666285.1	non-specific	399632	61	217	6.08686e-06	48.1355	pfam06779	MFS_4	C	cl27910
Q#12 - WP_203666285.1	superfamily	399632	61	217	6.08686e-06	48.1355	cl27910	MFS_4 superfamily	C	 - 
Q#12 - WP_203666285.1	non-specific	340877	311	451	7.16327e-06	47.9504	cd17319	MFS_ExuT_GudP_like	C	cl28910
Q#12 - WP_203666285.1	non-specific	273319	58	429	7.22572e-06	48.1409	TIGR00881	2A0104	 - 	cl36756
Q#12 - WP_203666285.1	superfamily	273319	58	429	7.22572e-06	48.1409	cl36756	2A0104 superfamily	 - 	 - 
Q#12 - WP_203666285.1	non-specific	340992	111	462	8.23347e-06	47.9053	cd17434	MFS_GLUT6_Class3	 - 	cl28910
Q#12 - WP_203666285.1	non-specific	429598	311	462	8.2724e-06	47.7979	pfam07690	MFS_1	C	cl28910
Q#12 - WP_203666285.1	non-specific	340891	61	444	1.0785e-05	47.3161	cd17333	MFS_FucP_MFSD4_like	 - 	cl28910
Q#12 - WP_203666285.1	non-specific	340924	49	199	1.2249e-05	47.3525	cd17366	MFS_ProP	C	cl28910
Q#12 - WP_203666285.1	non-specific	129794	41	211	1.56677e-05	47.3737	TIGR00711	efflux_EmrB	C	cl31024
